published_submission,official_submission,id_resolution,published_commit,official_source_commit,commit_matches,solver,created,q,t,publication_bucket,source_state,mechanism_families,selection_warning
d8ed1df,d8ed1df,exact_id,a16788e,a16788ed5e390c512ed757a7b1ab10c56db591f6,True,vineetguptadev,"5/30/26, 10:14 PM",2710,3904012,source-gap closure,source-gap,Unclassified support row,
aac62d7,aac62d7,exact_id,9bd0748,9bd07486b0f55e5d837abe104c71273eaae31949,True,Gajesh2007,"5/31/26, 1:04 AM",2708,3839944,source-gap closure,source-gap,Unclassified support row,
d35d6e7,d35d6e7,exact_id,9bcc27d,9bcc27d76b7a59ef27f964dc85ea7a452593c5f4,True,Gajesh2007,"5/31/26, 12:44 PM",2708,3546654,source-gap closure,source-gap,Measured cleanup and phase feedback,
f94f726,f94f726,exact_id,d19dbb5,d19dbb5390c11aaaac70e113647dbe07530a5c41,True,Gajesh2007,"5/31/26, 9:03 PM",2310,3656039,mechanism write-up,source-backed,Register sharing and transcript compression; Clean-bit and range-bounded arithmetic; Low-scratch arithmetic specialization; Peak co-ownership and joint-pin relief; Measured cleanup and phase feedback; Lifecycle loans,
112d5a4,112d5a4,exact_id,36a2989,36a29896753c65b8420c7eca25932436d7e8b507,True,Gajesh2007,"6/1/26, 5:48 AM",2310,3361759,source-gap closure,source-gap,Measured cleanup and phase feedback,
437e22a,437e22a,exact_id,36e8578,36e8578e7a17b9d3b315434a0c1dcb17c39f1f12,True,Gajesh2007,"6/1/26, 8:28 AM",2310,3063680,mechanism write-up,source-backed,Clean-bit and range-bounded arithmetic; Register sharing and transcript compression; Measured cleanup and phase feedback; Low-scratch arithmetic specialization; Lifecycle loans,
70699b7,70699b7,exact_id,6da9882,6da9882551b36bad83324874475e6947108f9899,True,Gajesh2007,"6/1/26, 9:14 AM",2310,3015004,source-gap closure,source-gap,Unclassified support row,
4a11f65,4a11f65,exact_id,b86e789,b86e789c17b2ead75801cde77944456046cb6e3f,True,Gajesh2007,"6/1/26, 10:29 AM",2309,2973304,source-gap closure,source-gap,Unclassified support row,
03499c8,03499c8,exact_id,13ac8da,13ac8da27bc3f2d6d9d0f5508354a67327d48572,True,Gajesh2007,"6/1/26, 10:44 AM",2309,2929804,source-gap closure,source-gap,Unclassified support row,
037fd71,037fd71,exact_id,1e18b4d,1e18b4ddfad590d856c3dd8430ac8201d1fc1a18,True,Gajesh2007,"6/1/26, 3:59 PM",2309,2870041,mechanism write-up,source-backed,Clean-bit and range-bounded arithmetic; Register sharing and transcript compression; Measured cleanup and phase feedback; Low-scratch arithmetic specialization; Recomputation instead of residency; Lifecycle loans,
2ca410f,2ca410f,exact_id,404d630,404d630b957a57c2850f6b4838099148220d146c,True,Gajesh2007,"6/1/26, 7:24 PM",2309,2615899,mechanism write-up,source-backed,Clean-bit and range-bounded arithmetic; Register sharing and transcript compression; Measured cleanup and phase feedback; Lifecycle loans; Score-model and validation-island effects,
375fdff,375fdff,exact_id,ba05d3a,ba05d3a9ce88f1ae4f4014ca94df88e4771c2586,True,Gajesh2007,"6/1/26, 8:36 PM",2309,2462914,mechanism write-up,source-backed,Clean-bit and range-bounded arithmetic; Low-scratch arithmetic specialization; Register sharing and transcript compression; Lifecycle loans; Score-model and validation-island effects,
620443,0620443,recovered_from_solver_q_t,233a44c,233a44c2857b5c19d8df914559daea0744537e8d,True,Gajesh2007,"6/2/26, 3:17 AM",2025,2560503,mechanism write-up,source-backed,Peak co-ownership and joint-pin relief; Register sharing and transcript compression; Recomputation instead of residency; Clean-bit and range-bounded arithmetic; Measured cleanup and phase feedback; Low-scratch arithmetic specialization,spreadsheet_id_or_commit_repaired
