created,submission,commit,solver,status,qubits,toffoli,publication_bucket,source_state,metric_delta,mechanism_families,origin_kind,origin_note,worked,blocked,next_action,source_locus_count,first_open
"5/30/26, 10:14 PM",d8ed1df,a16788e,vineetguptadev,promoted,2710,3904012,source-gap closure,source-gap,score=1.1110; q=3; T=0.9826; event=69.96,Unclassified support row,unresolved source-gap,"Metric or note evidence is strong enough to preserve the row, but novelty and mechanism credit are blocked until source loci and proof duties are closed.",source-curation target before mechanism prose,causal mechanism claim before source closure,inspect note and diff before making a mechanism claim,0,taxonomy_review_roi.csv
"5/31/26, 1:04 AM",aac62d7,9bd0748,Gajesh2007,promoted,2708,3839944,source-gap closure,source-gap,score=1.6433; T=1.6411; event=48.46,Unclassified support row,unresolved source-gap,"Metric or note evidence is strong enough to preserve the row, but novelty and mechanism credit are blocked until source loci and proof duties are closed.",source-curation target before mechanism prose,causal mechanism claim before source closure,inspect note and diff before making a mechanism claim,0,taxonomy_review_roi.csv
"5/31/26, 12:44 PM",d35d6e7,9bcc27d,Gajesh2007,promoted,2708,3546654,source-gap closure,source-gap,score=6.9215; T=6.9215; event=56.38,Measured cleanup and phase feedback,unresolved source-gap,"Metric or note evidence is strong enough to preserve the row, but novelty and mechanism credit are blocked until source loci and proof duties are closed.",source-curation target before mechanism prose,causal mechanism claim before source closure,open likely source path and add bounded source-locus rows,0,src/point_add/mod.rs
"5/31/26, 9:03 PM",f94f726,d19dbb5,Gajesh2007,promoted,2310,3656039,mechanism write-up,source-backed,score=11.9467; q=398; T=0.0000; event=135.95,Register sharing and transcript compression; Clean-bit and range-bounded arithmetic; Low-scratch arithmetic specialization; Peak co-ownership and joint-pin relief; Measured cleanup and phase feedback; Lifecycle loans,"known reversible-arithmetic ideas, locally composed","Clean-bit borrowing, Solinas low-scratch reduction, and cswap framing come from established reversible arithmetic pressure; the contribution is the source-backed joint-pin package that made them bind the measured peak.",mechanism prose with source/proof citations,all-input theorem without separate proof,"write prose from source loci, proof classes, and mechanism families",6,source_loci_by_mechanism.csv
"6/1/26, 5:48 AM",112d5a4,36a2989,Gajesh2007,promoted,2310,3361759,source-gap closure,source-gap,score=7.1921; T=5.0843; event=55.73,Measured cleanup and phase feedback,unresolved source-gap,"Metric or note evidence is strong enough to preserve the row, but novelty and mechanism credit are blocked until source loci and proof duties are closed.",source-curation target before mechanism prose,causal mechanism claim before source closure,inspect note and diff before making a mechanism claim,0,src/point_add/kaliski_walk.rs
"6/1/26, 8:28 AM",437e22a,36e8578,Gajesh2007,promoted,2310,3063680,mechanism write-up,source-backed,score=8.7310; T=8.7310; event=65.10,Clean-bit and range-bounded arithmetic; Register sharing and transcript compression; Measured cleanup and phase feedback; Low-scratch arithmetic specialization; Lifecycle loans,source-backed local instantiation of prior lineage,"Source loci classify the row as empirical width truncation; the paper may use it as bounded local mechanism evidence, not as a formal theorem.",mechanism prose with source/proof citations,all-input theorem without separate proof,"write prose from source loci, proof classes, and mechanism families",1,source_loci_by_mechanism.csv
"6/1/26, 9:14 AM",70699b7,6da9882,Gajesh2007,promoted,2310,3015004,source-gap closure,source-gap,score=1.5563; T=1.5563; event=48.33,Unclassified support row,unresolved source-gap,"Metric or note evidence is strong enough to preserve the row, but novelty and mechanism credit are blocked until source loci and proof duties are closed.",source-curation target before mechanism prose,causal mechanism claim before source closure,inspect note and diff before making a mechanism claim,0,taxonomy_review_roi.csv
"6/1/26, 10:29 AM",4a11f65,b86e789,Gajesh2007,promoted,2309,2973304,source-gap closure,source-gap,score=1.3831; T=1.3831; event=48.07,Unclassified support row,unresolved source-gap,"Metric or note evidence is strong enough to preserve the row, but novelty and mechanism credit are blocked until source loci and proof duties are closed.",source-curation target before mechanism prose,causal mechanism claim before source closure,inspect note and diff before making a mechanism claim,0,taxonomy_review_roi.csv
"6/1/26, 10:44 AM",03499c8,13ac8da,Gajesh2007,promoted,2309,2929804,source-gap closure,source-gap,score=1.4630; T=1.4630; event=48.19,Unclassified support row,unresolved source-gap,"Metric or note evidence is strong enough to preserve the row, but novelty and mechanism credit are blocked until source loci and proof duties are closed.",source-curation target before mechanism prose,causal mechanism claim before source closure,inspect note and diff before making a mechanism claim,0,taxonomy_review_roi.csv
"6/1/26, 3:59 PM",037fd71,1e18b4d,Gajesh2007,promoted,2309,2870041,mechanism write-up,source-backed,score=2.0398; T=2.0398; event=55.06,Clean-bit and range-bounded arithmetic; Register sharing and transcript compression; Measured cleanup and phase feedback; Low-scratch arithmetic specialization; Recomputation instead of residency; Lifecycle loans,source-backed local instantiation of prior lineage,"Source loci classify the row as carry-tail truncation; the paper may use it as bounded local mechanism evidence, not as a formal theorem.",mechanism prose with source/proof citations,all-input theorem without separate proof,"write prose from source loci, proof classes, and mechanism families",1,source_loci_by_mechanism.csv
